date,open,high,low,close
2021-08-13,4458.6,4468.8,4456.8,4465.8
2021-08-15,4462.9,4464.5,4460.9,4463.3
2021-08-16,4463.5,4481.5,4438.0,4476.1
2021-08-17,4476.0,4476.5,4417.5,4437.9
2021-08-18,4438.4,4454.0,4386.6,4396.2
2021-08-19,4396.0,4418.6,4352.5,4398.6
2021-08-20,4399.1,4444.5,4376.1,4442.1
2021-08-22,4439.1,4446.3,4437.6,4444.0
2021-08-23,4443.8,4489.9,4443.4,4487.2
2021-08-24,4487.5,4495.8,4480.8,4485.7
2021-08-25,4485.4,4502.1,4480.4,4496.1
2021-08-26,4496.3,4496.6,4468.2,4469.7
2021-08-27,4469.2,4513.4,4465.9,4510.7
2021-08-29,4511.1,4516.5,4509.4,4514.3
2021-08-30,4514.3,4537.6,4504.3,4529.8
2021-08-31,4529.8,4544.6,4516.2,4530.3
2021-09-01,4530.8,4542.0,4522.1,4525.2
2021-09-02,4524.9,4545.8,4517.9,4536.0
2021-09-03,4536.7,4546.9,4521.4,4535.0
2021-09-05,4535.4,4536.0,4529.4,4529.7
2021-09-06,4529.4,4549.4,4525.4,4540.7
2021-09-07,4540.6,4542.4,4512.9,4515.8
2021-09-08,4515.8,4525.5,4493.8,4508.3
2021-09-09,4509.1,4529.9,4487.3,4491.9
2021-09-10,4492.4,4519.1,4457.7,4462.1
2021-09-12,4462.0,4476.8,4462.0,4475.8
2021-09-13,4476.0,4493.8,4445.8,4475.6
2021-09-14,4475.3,4488.8,4435.3,4450.7
2021-09-15,4450.5,4486.6,4437.8,4484.2
2021-09-16,4483.9,4487.0,4443.0,4467.1
2021-09-17,4466.9,4481.9,4418.1,4418.9
2021-09-19,4422.9,4427.4,4415.6,4426.9
2021-09-20,4427.6,4428.9,4305.6,4366.9
2021-09-21,4366.9,4406.4,4341.6,4342.1
2021-09-22,4341.6,4416.8,4332.2,4403.1
2021-09-23,4403.3,4465.6,4401.8,4451.8
2021-09-24,4451.8,4463.5,4421.6,4456.4
2021-09-26,4457.3,4464.4,4456.3,4462.7
2021-09-27,4462.9,4482.4,4435.8,4440.1
2021-09-28,4440.3,4451.8,4346.3,4365.5
2021-09-29,4365.2,4388.7,4354.8,4372.1
2021-09-30,4371.9,4397.9,4305.2,4316.2
2021-10-01,4315.5,4375.5,4270.8,4361.4
2021-10-03,4358.5,4372.0,4357.5,4368.1
2021-10-04,4367.5,4368.6,4278.8,4303.6
2021-10-05,4303.7,4369.5,4279.7,4338.3
2021-10-06,4338.5,4380.6,4284.1,4374.9
2021-10-07,4374.4,4430.3,4372.1,4409.6
2021-10-08,4408.8,4416.6,4385.8,4389.6
2021-10-10,4391.2,4396.7,4362.4,4367.7
2021-10-11,4366.2,4416.0,4351.7,4357.7
2021-10-12,4358.2,4374.7,4327.6,4337.8
2021-10-13,4338.4,4373.7,4329.6,4371.6
2021-10-14,4371.1,4447.1,4371.1,4445.4
2021-10-15,4445.4,4476.0,4435.4,4473.2
2021-10-17,4475.8,4478.1,4461.1,4461.3
2021-10-18,4461.8,4488.8,4445.1,4486.8
2021-10-19,4486.8,4526.2,4481.5,4524.6
2021-10-20,4525.4,4540.8,4513.4,4529.0
2021-10-21,4529.3,4551.8,4518.8,4538.3
2021-10-22,4538.8,4559.7,4524.1,4538.1
2021-10-24,4538.0,4540.6,4531.0,4534.0
2021-10-25,4534.2,4575.6,4534.1,4575.1
2021-10-26,4576.3,4598.4,4569.3,4578.0
2021-10-27,4577.6,4584.6,4552.5,4561.8
2021-10-28,4562.0,4598.0,4553.5,4582.5
2021-10-29,4583.0,4610.6,4567.5,4609.1
2021-10-31,4616.0,4620.4,4610.4,4617.8
2021-11-01,4618.2,4626.9,4594.8,4611.6
2021-11-02,4611.5,4635.1,4601.5,4627.0
2021-11-03,4627.3,4667.7,4621.3,4666.7
2021-11-04,4666.5,4684.2,4658.2,4683.9
2021-11-05,4683.7,4718.3,4674.7,4692.4
2021-11-07,4685.7,4696.5,4685.7,4691.4
2021-11-08,4691.0,4714.2,4683.7,4695.8
2021-11-09,4696.1,4707.2,4670.6,4677.7
2021-11-10,4677.8,4686.1,4631.0,4647.3
2021-11-11,4647.8,4666.8,4646.5,4656.4
2021-11-12,4656.4,4690.5,4649.7,4686.8
2021-11-14,4688.4,4694.5,4688.4,4690.0
2021-11-15,4690.3,4702.5,4673.0,4685.1
2021-11-16,4685.4,4715.0,4675.9,4703.3
2021-11-17,4702.9,4704.9,4684.4,4692.0
2021-11-18,4691.9,4710.9,4672.2,4708.8
2021-11-19,4708.6,4727.2,4688.4,4701.2
2021-11-21,4704.1,4707.8,4700.8,4700.8
2021-11-22,4700.9,4743.7,4677.7,4688.4
2021-11-23,4688.7,4699.0,4652.7,4685.2
2021-11-24,4685.7,4705.9,4659.9,4704.8
2021-11-25,4704.9,4719.9,4689.4,4690.7
2021-11-26,4690.7,4690.9,4581.5,4582.6
2021-11-28,4593.3,4634.0,4593.3,4629.0
2021-11-29,4629.1,4673.1,4623.4,4665.6
2021-11-30,4665.8,4670.1,4560.3,4586.1
2021-12-01,4586.6,4653.2,4501.3,4528.5
2021-12-02,4529.1,4595.7,4507.8,4563.3
2021-12-03,4563.3,4607.6,4494.7,4533.6
2021-12-05,4545.3,4560.8,4538.0,4559.0
2021-12-06,4559.1,4612.8,4533.8,4594.8
2021-12-07,4595.5,4698.7,4589.0,4691.1
2021-12-08,4690.9,4713.0,4674.4,4697.9
2021-12-09,4697.8,4707.4,4663.6,4673.3
2021-12-10,4674.0,4713.4,4665.3,4712.9
2021-12-12,4713.6,4721.9,4713.6,4720.7
2021-12-13,4720.6,4731.9,4665.8,4674.1
2021-12-14,4674.5,4686.1,4606.4,4636.4
2021-12-15,4636.9,4721.0,4611.4,4717.0
2021-12-16,4716.9,4752.0,4651.4,4666.7
2021-12-17,4667.2,4676.5,4600.5,4629.6
2021-12-19,4622.9,4631.0,4593.5,4594.6
2021-12-20,4595.6,4601.9,4530.9,4588.4
2021-12-21,4588.6,4652.5,4575.9,4647.0
2021-12-22,4647.3,4702.6,4632.6,4700.8
2021-12-23,4700.1,4740.5,4694.7,4726.4
2021-12-26,4729.1,4734.4,4727.4,4732.1
2021-12-27,4732.5,4792.8,4722.9,4787.1
2021-12-28,4787.6,4806.8,4779.7,4794.7
2021-12-29,4795.0,4803.7,4778.8,4788.7
2021-12-30,4788.5,4808.5,4776.2,4781.3
2021-12-31,4781.6,4786.8,4759.7,4777.8
2022-01-02,4779.4,4785.2,4779.4,4783.0
2022-01-03,4783.5,4798.9,4756.6,4792.2
2022-01-04,4792.6,4817.9,4774.2,4787.2
2022-01-05,4787.2,4797.2,4691.1,4707.0
2022-01-06,4707.3,4725.1,4671.4,4707.7
2022-01-07,4707.8,4714.1,4662.7,4676.2
2022-01-09,4679.4,4682.0,4659.3,4666.3
2022-01-10,4666.5,4690.1,4581.4,4674.8
2022-01-11,4674.3,4716.1,4636.8,4712.8
2022-01-12,4712.5,4748.7,4704.2,4725.6
2022-01-13,4726.1,4744.7,4650.4,4662.8
2022-01-14,4662.8,4674.6,4614.9,4671.8
2022-01-16,4676.8,4678.6,4662.3,4664.7
2022-01-17,4664.5,4674.2,4647.0,4664.9
2022-01-18,4665.7,4669.9,4568.9,4576.6
2022-01-19,4576.8,4610.9,4523.5,4524.0
2022-01-20,4525.7,4602.5,4446.3,4470.2
2022-01-21,4470.6,4494.6,4390.5,4392.5
2022-01-23,4396.8,4422.9,4394.8,4422.6
2022-01-24,4422.1,4435.2,4221.8,4410.3
2022-01-25,4411.4,4412.9,4286.1,4366.2
2022-01-26,4365.9,4454.4,4304.6,4374.5
2022-01-27,4374.0,4429.3,4273.0,4343.9
2022-01-28,4342.6,4433.9,4274.9,4428.4
2022-01-30,4431.6,4435.7,4411.1,4420.6
2022-01-31,4420.3,4516.2,4403.9,4502.4
2022-02-01,4502.9,4563.9,4484.1,4560.4
2022-02-02,4560.5,4594.8,4539.2,4540.1
2022-02-03,4540.1,4552.9,4471.4,4526.9
2022-02-04,4527.2,4540.0,4447.2,4492.6
2022-02-06,4507.3,4508.0,4496.7,4507.0
2022-02-07,4507.1,4522.5,4471.2,4495.0
2022-02-08,4495.2,4533.5,4465.2,4532.7
2022-02-09,4532.7,4592.1,4525.5,4586.5
2022-02-10,4586.5,4590.3,4484.2,4491.9
2022-02-11,4492.2,4527.4,4401.4,4425.1
2022-02-13,4419.3,4427.3,4408.1,4424.1
2022-02-14,4424.6,4433.9,4361.0,4409.7
2022-02-15,4410.5,4474.4,4388.1,4458.9
2022-02-16,4458.4,4489.8,4429.6,4466.9
2022-02-17,4466.7,4473.4,4373.0,4383.6
2022-02-18,4383.4,4416.6,4326.7,4349.6
2022-02-20,4328.5,4339.0,4322.0,4327.7
2022-02-21,4327.5,4396.4,4255.5,4278.1
2022-02-22,4277.4,4363.5,4265.9,4329.2
2022-02-23,4329.6,4350.4,4213.9,4222.9
2022-02-24,4223.2,4295.2,4106.8,4266.1
2022-02-25,4265.8,4388.4,4233.0,4386.8
2022-02-27,4298.1,4308.4,4259.1,4289.2
2022-02-28,4288.6,4388.8,4264.2,4381.5
2022-03-01,4381.5,4402.4,4279.8,4321.0
2022-03-02,4321.5,4400.9,4282.4,4378.3
2022-03-03,4378.9,4421.6,4345.2,4374.6
2022-03-04,4375.6,4376.9,4284.6,4322.4
2022-03-06,4306.3,4306.3,4266.0,4272.2
2022-03-07,4271.8,4327.6,4184.0,4188.7
2022-03-08,4188.9,4277.0,4142.8,4171.3
2022-03-09,4172.0,4299.4,4167.1,4278.0
2022-03-10,4278.3,4283.2,4209.4,4265.1
2022-03-11,4265.9,4336.4,4199.4,4206.9
2022-03-13,4227.0,4236.0,4216.9,4233.1
2022-03-14,4232.7,4254.2,4161.3,4181.8
2022-03-15,4181.6,4271.0,4137.9,4256.8
2022-03-16,4256.6,4374.8,4247.4,4365.0
2022-03-17,4364.8,4415.6,4329.3,4388.7
2022-03-18,4388.9,4474.7,4373.2,4474.2
2022-03-20,4468.7,4472.7,4460.7,4461.4
2022-03-21,4461.7,4482.2,4424.1,4453.8
2022-03-22,4453.1,4521.7,4441.5,4517.6
2022-03-23,4517.4,4521.9,4453.1,4460.2
2022-03-24,4460.3,4524.4,4453.8,4517.7
2022-03-25,4517.8,4546.1,4501.1,4542.8
2022-03-27,4542.7,4546.6,4534.0,4534.4
2022-03-28,4533.5,4579.1,4517.4,4574.4
2022-03-29,4575.2,4637.3,4572.2,4627.5
2022-03-30,4627.2,4633.0,4580.7,4604.2
2022-03-31,4604.4,4620.0,4532.9,4547.7
2022-04-01,4548.0,4560.4,4507.4,4543.7
2022-04-03,4544.7,4545.2,4534.8,4536.4
2022-04-04,4536.9,4585.7,4533.6,4578.8
2022-04-05,4579.0,4593.7,4514.9,4528.2
2022-04-06,4528.2,4533.4,4449.8,4466.0
2022-04-07,4465.2,4521.2,4450.3,4507.2
2022-04-08,4506.4,4524.3,4474.6,4488.0
2022-04-10,4493.7,4495.7,4481.1,4481.3
2022-04-11,4481.0,4485.9,4408.6,4411.3
2022-04-12,4411.3,4470.9,4380.8,4410.3
2022-04-13,4410.0,4453.9,4388.4,4443.0
2022-04-14,4443.3,4460.4,4389.9,4393.8
2022-04-17,4393.6,4393.6,4362.1,4363.2
2022-04-18,4362.9,4415.8,4361.6,4415.6
2022-04-19,4414.8,4470.7,4376.7,4447.8
2022-04-20,4447.3,4488.4,4437.4,4475.3
2022-04-21,4475.3,4512.7,4380.5,4381.9
2022-04-22,4381.8,4396.9,4252.8,4256.3
2022-04-24,4264.8,4272.1,4255.2,4263.6
2022-04-25,4263.6,4301.0,4200.3,4295.1
2022-04-26,4295.0,4308.1,4142.2,4178.6
2022-04-27,4178.9,4241.2,4163.1,4217.8
2022-04-28,4217.2,4308.5,4188.1,4250.4
2022-04-29,4250.9,4284.6,4124.4,4141.8
2022-05-01,4146.0,4152.4,4122.1,4137.0
2022-05-02,4136.9,4169.9,4062.1,4153.8
2022-05-03,4153.3,4200.6,4134.6,4181.5
2022-05-04,4181.5,4307.6,4148.7,4292.4
2022-05-05,4292.6,4305.4,4105.5,4152.8
2022-05-06,4153.3,4157.8,4067.9,4117.3
2022-05-08,4095.3,4103.5,4080.0,4085.2
2022-05-09,4085.2,4098.0,3975.1,4004.0
2022-05-10,4004.2,4069.5,3958.2,3996.7
2022-05-11,3996.4,4055.2,3929.1,3945.9
2022-05-12,3945.8,3964.8,3859.0,3945.5
2022-05-13,3945.3,4039.0,3941.5,4018.0
2022-05-15,4028.2,4045.2,4022.6,4039.3
2022-05-16,4039.1,4046.7,3983.5,4011.5
2022-05-17,4011.8,4097.5,4006.8,4088.1
2022-05-18,4088.3,4091.6,3900.7,3900.9
2022-05-19,3899.3,3945.9,3858.9,3910.8
2022-05-20,3911.9,3952.2,3810.2,3904.3
2022-05-22,3925.5,3939.9,3920.8,3938.4
2022-05-23,3938.4,3984.3,3909.1,3950.0
2022-05-24,3949.2,3965.5,3874.8,3960.7
2022-05-25,3959.3,3999.5,3917.0,3971.5
2022-05-26,3970.9,4075.1,3962.5,4058.3
2022-05-27,4058.2,4169.8,4043.4,4169.4
2022-05-29,4166.8,4174.8,4159.7,4169.6
2022-05-30,4169.3,4204.1,4163.2,4179.4
2022-05-31,4179.7,4180.7,4105.3,4149.2
2022-06-01,4149.6,4166.0,4073.9,4088.8
2022-06-02,4088.8,4189.8,4074.1,4182.7
2022-06-03,4182.5,4185.0,4098.4,4110.1
2022-06-05,4114.9,4118.0,4106.0,4110.1
2022-06-06,4109.0,4169.0,4106.2,4122.5
2022-06-07,4122.5,4164.5,4077.3,4147.8
2022-06-08,4147.7,4160.4,4106.9,4119.0
2022-06-09,4119.8,4144.3,4016.8,4023.4
2022-06-10,4023.9,4030.8,3897.8,3908.8
2022-06-12,3872.3,3877.4,3860.8,3863.2
2022-06-13,3863.8,3864.3,3734.3,3759.1
2022-06-14,3758.9,3803.9,3705.3,3756.3
2022-06-15,3756.3,3838.0,3721.0,3816.3
2022-06-16,3816.1,3828.2,3639.5,3674.3
2022-06-17,3674.6,3709.7,3636.8,3680.1
2022-06-19,3681.4,3704.7,3681.4,3702.5
2022-06-20,3702.4,3721.0,3659.5,3713.4
2022-06-21,3713.4,3780.0,3709.6,3760.8
2022-06-22,3761.3,3801.5,3690.8,3740.9
2022-06-23,3740.4,3802.7,3731.6,3782.2
2022-06-24,3782.9,3914.9,3778.9,3909.1
2022-06-26,3912.0,3917.5,3896.2,3896.5
2022-06-27,3896.0,3943.6,3888.7,3906.0
2022-06-28,3906.2,3945.5,3818.2,3825.3
2022-06-29,3824.8,3835.6,3797.1,3812.4
2022-06-30,3812.1,3818.8,3736.8,3786.9
2022-07-01,3787.6,3830.3,3742.4,3824.4
2022-07-03,3822.6,3824.3,3807.3,3809.1
2022-07-04,3808.9,3853.2,3790.3,3843.4
2022-07-05,3842.9,3846.9,3740.6,3823.0
2022-07-06,3823.7,3871.6,3806.5,3848.4
2022-07-07,3847.7,3910.8,3829.7,3893.7
2022-07-08,3894.2,3918.6,3864.6,3902.5
2022-07-10,3896.9,3897.1,3887.1,3893.9
2022-07-11,3894.4,3894.4,3847.6,3860.9
2022-07-12,3860.8,3873.7,3802.1,3818.7
2022-07-13,3818.7,3863.7,3749.1,3775.0
2022-07-14,3774.7,3808.5,3721.7,3807.8
2022-07-15,3808.0,3865.1,3777.9,3864.4
2022-07-17,3875.8,3878.4,3866.2,3871.6
2022-07-18,3871.6,3906.6,3819.2,3841.6
2022-07-19,3842.1,3944.8,3832.1,3940.6
2022-07-20,3940.2,3974.1,3920.2,3954.1
2022-07-21,3953.5,4001.6,3927.9,3981.1
2022-07-22,3980.8,4013.4,3938.9,3960.3
2022-07-24,3965.6,3965.6,3953.1,3954.4
2022-07-25,3954.6,3986.3,3943.5,3953.1
2022-07-26,3952.8,3961.4,3910.7,3951.0
2022-07-27,3951.2,4039.1,3944.6,4016.0
2022-07-28,4015.8,4108.6,3992.9,4092.9
2022-07-29,4092.6,4139.9,4078.8,4130.3
2022-07-31,4136.1,4136.1,4112.2,4115.2
2022-08-01,4115.0,4144.4,4094.9,4112.0
2022-08-02,4112.8,4140.8,4079.6,4092.0
2022-08-03,4091.8,4167.6,4083.1,4148.0
2022-08-04,4147.4,4170.7,4135.5,4152.1
2022-08-05,4152.4,4164.6,4101.8,4140.0
2022-08-07,4148.5,4149.4,4129.8,4132.0
2022-08-08,4132.0,4187.0,4128.9,4151.5
2022-08-09,4151.2,4152.9,4112.0,4127.4
2022-08-10,4127.3,4211.9,4112.5,4209.9
2022-08-11,4210.2,4258.3,4201.0,4212.5
2022-08-12,4214.2,4280.1,4206.0,4278.5
2022-08-14,4275.8,4276.3,4266.9,4266.9
2022-08-15,4267.2,4300.8,4246.8,4292.5
2022-08-16,4292.0,4325.4,4277.7,4304.6
2022-08-17,4304.3,4312.2,4253.0,4266.3
2022-08-18,4265.9,4292.8,4255.5,4283.6
2022-08-19,4283.6,4285.1,4218.9,4226.2
2022-08-21,4216.9,4217.1,4205.3,4207.3
2022-08-22,4207.6,4218.9,4130.0,4150.0
2022-08-23,4150.5,4159.9,4116.1,4127.0
2022-08-24,4127.2,4156.9,4109.4,4143.4
2022-08-25,4143.6,4200.9,4141.4,4195.2
2022-08-26,4194.9,4215.9,4043.5,4043.6
2022-08-28,4023.7,4031.2,4010.2,4013.1
2022-08-29,4012.7,4063.3,4007.2,4040.8
2022-08-30,4040.6,4071.7,3965.0,3986.8
2022-08-31,3987.3,4017.1,3927.9,3934.4
2022-09-01,3934.7,3973.5,3903.2,3968.9
2022-09-02,3968.7,4018.6,3906.1,3932.3
2022-09-04,3930.3,3933.9,3915.9,3933.4
2022-09-05,3932.7,3946.3,3919.0,3938.8
2022-09-06,3939.3,3962.6,3887.1,3906.6
2022-09-07,3905.8,3988.2,3883.8,3976.3
2022-09-08,3976.0,4011.7,3942.2,4009.1
2022-09-09,4009.3,4076.7,4008.6,4066.1
2022-09-11,4081.0,4087.8,4077.3,4077.4
2022-09-12,4077.4,4120.5,4063.1,4115.2
2022-09-13,4115.4,4149.2,3921.2,3939.0
2022-09-14,3939.2,3961.6,3911.9,3952.8
2022-09-15,3952.3,3959.2,3870.8,3877.0
2022-09-16,3877.8,3883.5,3837.1,3882.9
2022-09-18,3873.9,3880.9,3868.2,3877.1
2022-09-19,3876.8,3913.6,3830.3,3913.4
2022-09-20,3912.9,3918.3,3827.7,3858.5
2022-09-21,3858.2,3907.7,3764.6,3765.8
2022-09-22,3766.2,3817.1,3749.2,3764.6
2022-09-23,3764.3,3768.3,3647.2,3697.1
2022-09-25,3693.6,3701.1,3675.8,3688.3
2022-09-26,3688.0,3715.8,3644.6,3665.3
2022-09-27,3665.6,3717.8,3622.7,3649.4
2022-09-28,3650.3,3736.3,3601.6,3713.0
2022-09-29,3713.9,3721.2,3610.5,3655.3
2022-09-30,3654.9,3680.5,3584.5,3592.9
2022-10-02,3581.4,3601.4,3569.6,3573.4
2022-10-03,3573.0,3698.3,3560.4,3690.1
2022-10-04,3690.2,3795.6,3688.0,3783.0
2022-10-05,3782.8,3806.8,3722.5,3798.0
2022-10-06,3797.8,3805.6,3730.1,3733.2
2022-10-07,3733.5,3751.8,3620.8,3638.0
2022-10-09,3626.1,3630.7,3607.5,3622.7
2022-10-10,3622.3,3655.9,3588.4,3619.6
2022-10-11,3619.7,3641.2,3568.7,3593.2
2022-10-12,3592.5,3623.3,3574.2,3586.4
